genre,rating
mountain adventure,9.0
medical drama,8.7
gun fu,8.7
historical epic,8.65
drug crime,8.600000000000001
western epic,8.6
fantasy epic,8.5875
sword & sorcery,8.575
sci-fi epic,8.55
prison drama,8.542857142857143
gangster,8.506666666666666
action epic,8.5
teen comedy,8.5
slasher horror,8.5
spaghetti western,8.5
quest,8.493333333333334
adventure epic,8.472222222222221
epic,8.46
psychological horror,8.45
martial arts,8.45
space sci-fi,8.441666666666666
dark fantasy,8.42
time travel,8.4
teen adventure,8.4
shōjo,8.4
desert adventure,8.4
cyberpunk,8.4
steampunk,8.4
samurai,8.399999999999999
tragic romance,8.399999999999999
holiday family,8.399999999999999
music,8.366666666666667
heist,8.366666666666667
sci-fi,8.365384615384615
legal drama,8.3625
serial killer,8.36
western,8.357142857142858
crime,8.355555555555556
spy,8.350000000000001
costume drama,8.350000000000001
monster horror,8.35
anime,8.35
action,8.348148148148148
superhero,8.345454545454546
cop drama,8.34
horror,8.34
fantasy,8.337931034482757
psychological thriller,8.336842105263159
workplace drama,8.333333333333334
supernatural fantasy,8.333333333333334
police procedural,8.333333333333334
tragedy,8.332432432432432
artificial intelligence,8.328571428571427
holiday,8.325
drama,8.321505376344085
mystery,8.321052631578947
adventure,8.319672131147541
hand-drawn animation,8.3125
psychological drama,8.31081081081081
,8.3096
war epic,8.3
parody,8.3
jukebox musical,8.3
legal thriller,8.3
suspense mystery,8.3
holiday romance,8.299999999999999
globetrotting adventure,8.299999999999999
period drama,8.299999999999999
adult animation,8.299999999999999
fairy tale,8.299999999999999
coming-of-age,8.291666666666666
thriller,8.29107142857143
romance,8.278571428571428
slapstick,8.275
dark comedy,8.273333333333333
animation,8.272727272727273
war,8.272727272727273
urban adventure,8.27142857142857
dystopian sci-fi,8.27
history,8.266666666666667
film noir,8.266666666666667
jungle adventure,8.266666666666666
showbiz drama,8.266666666666666
one-person army action,8.266666666666666
feel-good romance,8.2625
hard-boiled detective,8.26
musical,8.26
biography,8.257142857142856
computer animation,8.253846153846153
whodunnit,8.25
political thriller,8.25
family,8.238461538461538
alien invasion,8.233333333333333
sword & sandal,8.233333333333333
supernatural horror,8.233333333333333
docudrama,8.229411764705883
comedy,8.227659574468085
animal adventure,8.225
romantic comedy,8.225
satire,8.216666666666667
true crime,8.212499999999999
contemporary western,8.2
bumbling detective,8.2
buddy comedy,8.2
body horror,8.2
dinosaur adventure,8.2
romantic epic,8.2
quirky comedy,8.2
sketch comedy,8.2
high-concept comedy,8.2
holiday animation,8.2
financial drama,8.2
political drama,8.175
caper,8.175
dark romance,8.175
classic musical,8.166666666666666
holiday comedy,8.166666666666666
conspiracy thriller,8.149999999999999
farce,8.139999999999999
sport,8.1375
erotic thriller,8.133333333333333
teen fantasy,8.133333333333333
sea adventure,8.133333333333333
screwball comedy,8.133333333333333
road trip,8.12
car action,8.1
boxing,8.1
iyashikei,8.1
cyber thriller,8.1
motorsport,8.1
kaiju,8.1
swashbuckler,8.1
stop motion animation,8.1
steamy romance,8.1
survival,8.1
stoner comedy,8.1
teen drama,8.1
