rating_category,Approved,G,NC-17,Not Rated,PG,PG-13,Passed,R
8.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01
8.1,0.42,0.39,0.0,0.38,0.21,0.23,0.4,0.3
8.2,0.17,0.11,0.0,0.25,0.18,0.26,0.4,0.21
8.3,0.21,0.22,1.0,0.17,0.21,0.09,0.2,0.13
8.4,0.12,0.11,0.0,0.08,0.11,0.11,0.0,0.08
8.5,0.0,0.17,0.0,0.04,0.11,0.09,0.0,0.12
8.6,0.0,0.0,0.0,0.08,0.11,0.03,0.0,0.06
8.7,0.04,0.0,0.0,0.0,0.03,0.03,0.0,0.03
8.8,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.02
8.9,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01
9.0,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.02
9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
